CompanyId,CompanyName,FleetId,LocationId,LocationName,StockType,TyreId,TyreSerialNumber,ProductName,LastKnownPressure,LastKnownTreadDepth,TyreInitialTreadDepth,TyreMountMileage,TyreMileage,TyreLifeName,TyreCode,TyreMountDate,LastMountedVehicle
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,3e70d004-2442-47eb-b017-34c133d03a55,103106,Super Cargo SC305 11R22.5,6.96369,11.2,23,3735,10201,New,,1/18/2022 12:44:34 AM +00:00,BHY771
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,e6baae90-4269-4865-84ff-b93efa7e642b,113114,Super Cargo SC305 11R22.5,6.89474,20,23,100127,3964,New,,11/30/2021 4:59:56 PM +00:00,AVP751
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,ac998922-2453-44fd-8d17-4de835a380f8,113123,Super Cargo SC305 11R22.5,,19.5,23,100127,3964,New,,11/30/2021 4:59:56 PM +00:00,AVP751
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,e913946f-6ed6-420b-8bfb-d98506f986fc,113120,Super Cargo SC305 11R22.5,,19.6,23,100127,3964,New,,11/30/2021 4:59:56 PM +00:00,AVP751
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,573407ce-2e03-4fdf-b19c-298c94321df9,113113,Super Cargo SC305 11R22.5,6.89474,19.5,23,100127,3964,New,,11/30/2021 4:59:56 PM +00:00,AVP751
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,7def510b-4ff8-4af3-93e1-7f33f4981b3d,23170,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,14ac1683-6e4e-47b6-bddf-4b993b794535,23175,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,5e829702-d313-4197-93db-9f4d8c3768da,23168,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,StagingArea,597dfdc5-4a16-4939-bd6d-c325a4e110b9,23172,Super Cargo SC305 11R22.5,,23,23,,0,New,,,
ee7248d7-2980-4921-8924-5bf70ce848bd,CORCELIP,ea63b952-1355-4ed4-97a5-b927edce0f1c,62f4518c-de4e-4621-b84c-023dd24132b4,EL AGUSTINO,RollingStock,1531083e-3938-4a3d-8c9e-2c98cb4d0460,23167,Super Cargo SC519 11R22.5,,15,15,123079,0,New,,3/6/2022 5:00:00 PM +00:00,AYK702
